ImagePath,Type
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028207.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030790.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031464.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027165.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033955.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033909.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029628.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033583.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024975.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033748.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029907.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033251.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028166.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026177.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033671.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024616.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027761.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024567.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027681.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032879.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025831.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025817.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033959.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026955.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029924.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033867.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029942.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028992.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033210.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025075.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029900.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029142.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025830.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030156.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030201.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027554.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029008.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033087.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030897.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033505.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029502.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026503.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029971.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024411.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024888.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033986.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031611.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030338.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031673.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033653.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025928.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030732.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031373.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026322.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032159.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024875.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027061.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029987.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026422.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024458.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029525.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027922.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025261.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029523.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033881.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026346.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032477.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030694.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030686.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029363.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030581.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031818.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031321.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033252.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024754.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031879.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027164.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026465.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034101.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025472.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026526.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029437.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028679.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031885.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030030.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031322.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032236.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026127.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032976.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032762.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024805.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030320.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026164.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029072.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030064.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029374.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031787.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028049.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033559.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030533.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033727.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026143.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031784.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030896.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027533.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033340.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030019.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031815.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027430.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029017.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031283.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032741.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028317.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031192.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029549.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025159.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031861.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027877.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025089.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026285.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028118.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031500.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024587.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025119.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025444.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031687.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031882.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025468.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030491.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032148.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029791.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027193.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030628.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032677.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027294.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026315.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029031.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031869.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030603.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026005.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033307.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026681.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028965.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034067.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031843.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028162.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030178.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025367.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026360.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028973.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025182.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025796.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033625.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025954.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028953.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033796.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028254.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026626.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030371.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029517.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030531.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024929.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032949.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024954.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033348.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024859.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030520.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032921.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032459.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027117.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032793.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033476.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024923.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028812.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026529.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024339.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028559.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028391.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028810.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030835.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026524.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029879.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032799.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030947.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026929.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026142.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024327.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027521.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024583.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032329.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028724.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031682.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026350.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028107.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028143.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033459.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031045.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026030.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031654.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032290.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030601.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028500.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030964.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029276.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031052.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032881.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033431.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026697.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031100.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025361.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030498.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034226.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031824.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028121.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030287.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025321.jpg,vasc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025627.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028073.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028884.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025263.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026266.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025108.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028029.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029035.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026602.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030493.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031087.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026169.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028198.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026505.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031487.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027603.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028558.jpg,akiec
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033473.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033360.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030513.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032399.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030270.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026364.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025449.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033892.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025224.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029695.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033108.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025500.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027177.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024970.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033115.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030423.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033938.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031817.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031457.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031337.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033298.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028039.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033620.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026209.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031827.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033833.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030813.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028851.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028044.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027846.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026407.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027585.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025248.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033523.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032146.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031596.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031424.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029866.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032946.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032925.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025268.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030978.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033935.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029824.jpg,df
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031442.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025662.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032899.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026859.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032311.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024774.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028677.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032345.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033125.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033246.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030607.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033187.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026308.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024815.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033248.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030650.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026655.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031734.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030349.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026025.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0029144.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0033385.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027890.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030882.jpg,vasc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032070.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027052.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031870.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029993.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031093.jpg,vasc
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029654.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026253.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0026567.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028080.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030887.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025134.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0031345.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024777.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025031.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027573.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024340.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029925.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027841.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028789.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032248.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032839.jpg,vasc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0027065.jpg,mel
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0034115.jpg,bkl
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0028338.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0032594.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030499.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0024720.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0030644.jpg,bcc
C:\IDL_project\Dataset\HAM10000_images_part_1\ISIC_0025886.jpg,nv
C:\IDL_project\Dataset\HAM10000_images_part_2\ISIC_0029315.jpg,akiec
